collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
cast19,llm,60,0.01,uniform,0.09,0.0,0.10109414520537065,2459.5033333333336,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,weighted,0.38,0.0,0.02550703714719567,2450.05,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,active_judge,0.22666666666666666,0.0,0.042589928032666924,2447.653333333333,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,strat_pilot,0.43,0.0,0.02587151859616096,2455.2833333333333,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,weighted_cv,0.53,0.0,0.020155092881452757,2450.33,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,active_cv,0.4066666666666667,0.0,0.028226714522592206,2445.8633333333332,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.01,weighted_cvl,0.5666666666666667,0.006666666666666667,0.019276635861890937,2452.86,974.9933333333333,0.0,shared,full,t
cast19,llm,60,0.02,uniform,0.15666666666666668,0.0,0.10276846235313628,2403.7933333333335,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,weighted,0.63,0.0,0.025291718827630885,2398.2033333333334,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,active_judge,0.3933333333333333,0.0,0.043534525077201375,2390.8933333333334,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,strat_pilot,0.6633333333333333,0.0,0.02524006495906094,2398.3366666666666,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,weighted_cv,0.7866666666666666,0.0,0.019670058288532317,2398.2266666666665,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,active_cv,0.59,0.0,0.028679221592736715,2391.76,973.7233333333334,0.0,shared,full,t
cast19,llm,60,0.02,weighted_cvl,0.7666666666666667,0.0,0.018484963948531465,2396.15,973.7233333333334,0.0,shared,full,t
